ValuationDate,Currency,VolatilitySurfaceName,Expiry,Tenor,Strike,Volatility
6/26/2018,USD,USD_SwnVol,10Y,7Y,150,0.007778951
6/26/2018,USD,USD_SwnVol,10Y,7Y,200,0.00805166
6/26/2018,USD,USD_SwnVol,10Y,7Y,250,0.008377654
6/26/2018,USD,USD_SwnVol,10Y,7Y,300,0.008740575
6/26/2018,USD,USD_SwnVol,10Y,7Y,400,0.009533005
6/26/2018,USD,USD_SwnVol,10Y,7Y,500,0.010370665
6/26/2018,USD,USD_SwnVol,10Y,7Y,1500,0.018744082
6/26/2018,USD,USD_SwnVol,12Y,10Y,-1500,0.007465123
6/26/2018,USD,USD_SwnVol,12Y,10Y,-500,0.007527829
6/26/2018,USD,USD_SwnVol,12Y,10Y,-400,0.007552356
6/26/2018,USD,USD_SwnVol,12Y,10Y,-300,0.00758929
6/26/2018,USD,USD_SwnVol,12Y,10Y,-250,0.007554339
6/26/2018,USD,USD_SwnVol,12Y,10Y,-200,0.00741113
6/26/2018,USD,USD_SwnVol,12Y,10Y,-150,0.007254623
6/26/2018,USD,USD_SwnVol,12Y,10Y,-125,0.007185183
6/26/2018,USD,USD_SwnVol,12Y,10Y,-100,0.007127719
6/26/2018,USD,USD_SwnVol,12Y,10Y,-75,0.007086777
6/26/2018,USD,USD_SwnVol,12Y,10Y,-50,0.007066959
6/26/2018,USD,USD_SwnVol,12Y,10Y,-37.5,0.007066399
6/26/2018,USD,USD_SwnVol,12Y,10Y,-25,0.007072808
6/26/2018,USD,USD_SwnVol,12Y,10Y,-12.5,0.007086711
6/26/2018,USD,USD_SwnVol,12Y,10Y,0,0.007108598
6/26/2018,USD,USD_SwnVol,12Y,10Y,12.5,0.007083293
6/26/2018,USD,USD_SwnVol,12Y,10Y,25,0.007066337
6/26/2018,USD,USD_SwnVol,12Y,10Y,37.5,0.007057594
6/26/2018,USD,USD_SwnVol,12Y,10Y,50,0.007056873
6/26/2018,USD,USD_SwnVol,12Y,10Y,75,0.007078488
6/26/2018,USD,USD_SwnVol,12Y,10Y,100,0.007128731
6/26/2018,USD,USD_SwnVol,12Y,10Y,125,0.007204634
6/26/2018,USD,USD_SwnVol,12Y,10Y,150,0.007302986
6/26/2018,USD,USD_SwnVol,12Y,10Y,200,0.007554416
6/26/2018,USD,USD_SwnVol,12Y,10Y,250,0.007860288
6/26/2018,USD,USD_SwnVol,12Y,10Y,300,0.008203083
6/26/2018,USD,USD_SwnVol,12Y,10Y,400,0.008953621
6/26/2018,USD,USD_SwnVol,12Y,10Y,500,0.009746959
6/26/2018,USD,USD_SwnVol,12Y,10Y,1500,0.017639676
6/26/2018,USD,USD_SwnVol,12Y,12Y,-1500,0.007330793
6/26/2018,USD,USD_SwnVol,12Y,12Y,-500,0.00739494
6/26/2018,USD,USD_SwnVol,12Y,12Y,-400,0.007420257
6/26/2018,USD,USD_SwnVol,12Y,12Y,-300,0.007458558
6/26/2018,USD,USD_SwnVol,12Y,12Y,-250,0.007423098
6/26/2018,USD,USD_SwnVol,12Y,12Y,-200,0.007274158
