Ticker,DividendDate,PayDate,Type,Value,Currency
.SPX,2019-07-31,2019-07-31,DISCRETE,0.133791097,USD
.SPX,2019-08-01,2019-08-01,DISCRETE,0.13381232,USD
.SPX,2019-08-02,2019-08-02,DISCRETE,0.133833547,USD
.SPX,2019-08-05,2019-08-05,DISCRETE,0.401653389,USD
.SPX,2019-08-06,2019-08-06,DISCRETE,0.133918489,USD
.SPX,2019-08-07,2019-08-07,DISCRETE,0.133939734,USD
.SPX,2019-08-08,2019-08-08,DISCRETE,0.133960982,USD
.SPX,2019-08-09,2019-08-09,DISCRETE,0.133982233,USD
.SPX,2019-08-12,2019-08-12,DISCRETE,0.402099719,USD
.SPX,2019-08-13,2019-08-13,DISCRETE,0.134067276,USD
.SPX,2019-08-14,2019-08-14,DISCRETE,0.134088545,USD
.SPX,2019-08-15,2019-08-15,DISCRETE,0.134109818,USD
.SPX,2019-08-16,2019-08-16,DISCRETE,0.134131095,USD
.SPX,2019-08-19,2019-08-19,DISCRETE,0.402546575,USD
.SPX,2019-08-20,2019-08-20,DISCRETE,0.134216237,USD
.SPX,2019-08-21,2019-08-21,DISCRETE,0.134237532,USD
.SPX,2019-08-22,2019-08-22,DISCRETE,0.13425883,USD
.SPX,2019-08-23,2019-08-23,DISCRETE,0.134280132,USD
.SPX,2019-08-26,2019-08-26,DISCRETE,0.40299396,USD
.SPX,2019-08-27,2019-08-27,DISCRETE,0.134365375,USD
.SPX,2019-08-28,2019-08-28,DISCRETE,0.134386695,USD
.SPX,2019-08-29,2019-08-29,DISCRETE,0.134408019,USD
.SPX,2019-08-30,2019-08-30,DISCRETE,0.134429346,USD
.SPX,2019-09-03,2019-09-03,DISCRETE,0.537982424,USD
.SPX,2019-09-04,2019-09-04,DISCRETE,0.134536035,USD
.SPX,2019-09-05,2019-09-05,DISCRETE,0.134557384,USD
.SPX,2019-09-06,2019-09-06,DISCRETE,0.134578736,USD
.SPX,2019-09-09,2019-09-09,DISCRETE,0.403890319,USD
.SPX,2019-09-10,2019-09-10,DISCRETE,0.134664181,USD
.SPX,2019-09-11,2019-09-11,DISCRETE,0.134685552,USD
.SPX,2019-09-12,2019-09-12,DISCRETE,0.134706926,USD
.SPX,2019-09-13,2019-09-13,DISCRETE,0.134728304,USD
.SPX,2019-09-16,2019-09-16,DISCRETE,0.404339297,USD
.SPX,2019-09-17,2019-09-17,DISCRETE,0.134813851,USD
.SPX,2019-09-18,2019-09-18,DISCRETE,0.134835247,USD
.SPX,2019-09-19,2019-09-19,DISCRETE,0.134856646,USD
.SPX,2019-09-20,2019-09-20,DISCRETE,0.134877908,USD
.SPX,2019-09-23,2019-09-23,DISCRETE,0.404787109,USD
.SPX,2019-09-24,2019-09-24,DISCRETE,0.134962989,USD
.SPX,2019-09-25,2019-09-25,DISCRETE,0.134984267,USD
.SPX,2019-09-26,2019-09-26,DISCRETE,0.135005549,USD
.SPX,2019-09-27,2019-09-27,DISCRETE,0.135026834,USD
.SPX,2019-09-30,2019-09-30,DISCRETE,0.405234141,USD
.SPX,2019-10-01,2019-10-01,DISCRETE,0.135112007,USD
.SPX,2019-10-02,2019-10-02,DISCRETE,0.135133309,USD
.SPX,2019-10-03,2019-10-03,DISCRETE,0.135154614,USD
.SPX,2019-10-04,2019-10-04,DISCRETE,0.135175922,USD
.SPX,2019-10-07,2019-10-07,DISCRETE,0.405681659,USD
.SPX,2019-10-08,2019-10-08,DISCRETE,0.135261188,USD
.SPX,2019-10-09,2019-10-09,DISCRETE,0.135282512,USD
.SPX,2019-10-10,2019-10-10,DISCRETE,0.13530384,USD
.SPX,2019-10-11,2019-10-11,DISCRETE,0.135325172,USD
.SPX,2019-10-15,2019-10-15,DISCRETE,0.541566344,USD
.SPX,2019-10-16,2019-10-16,DISCRETE,0.135431878,USD
.SPX,2019-10-17,2019-10-17,DISCRETE,0.13545323,USD
.SPX,2019-10-18,2019-10-18,DISCRETE,0.135474584,USD
.SPX,2019-10-21,2019-10-21,DISCRETE,0.406578158,USD
.SPX,2019-10-22,2019-10-22,DISCRETE,0.135560036,USD
.SPX,2019-10-23,2019-10-23,DISCRETE,0.135581407,USD
.SPX,2019-10-24,2019-10-24,DISCRETE,0.135602782,USD
.SPX,2019-10-25,2019-10-25,DISCRETE,0.13562416,USD
.SPX,2019-10-28,2019-10-28,DISCRETE,0.407027142,USD
.SPX,2019-10-29,2019-10-29,DISCRETE,0.135709705,USD
.SPX,2019-10-30,2019-10-30,DISCRETE,0.1357311,USD
.SPX,2019-10-31,2019-10-31,DISCRETE,0.135752498,USD
